video_name,split,interview
J4GQm9j0JZ0.003,train,0.5046728971962616
zEyRyTnIw5I.005,train,0.4579439252336448
nskJh7v6v1U.004,train,0.3738317757009345
6wHQsN5g2RM.000,train,0.4579439252336448
dQOeQYWIgm8.000,train,0.5700934579439252
eHcRre1YsNA.000,train,0.2149532710280373
vZpneJlniAE.005,train,0.5327102803738317
oANKg9_grdA.004,train,0.5514018691588785
VuadgOz6T7s.000,train,0.1401869158878504
7nhJXn9PI0I.001,train,0.2242990654205607
tEQEKN07KgQ.001,train,0.4112149532710279
I5x9T9ftW18.005,train,0.7102803738317757
dh6iOU2RtTA.003,train,0.6355140186915886
gsleSGEZHAs.004,train,0.644859813084112
vhugKRUnd-c.001,train,0.4859813084112149
kn6I8LdQFN0.004,train,0.1588785046728971
Wd0V4MNvqcg.000,train,0.4953271028037382
w_ExyXsnw2A.000,train,0.5046728971962616
DnTtbAR_Qyw.004,train,0.5887850467289719
rIHcq2E67Nc.005,train,0.4859813084112149
De4i7-FX9Og.004,train,0.719626168224299
cA43Gfcg0QA.000,train,0.2149532710280373
pZxqWp0e-Ik.000,train,0.2710280373831775
D3AomvNhR1k.003,train,0.5046728971962616
Fi1ILrwQpSY.003,train,0.5700934579439252
Xfmu-7JuDGg.002,train,0.5420560747663551
YzNbGMNr3z0.001,train,0.5887850467289719
aFVFvJNnFt0.000,train,0.4672897196261681
cgT-3CHBmKs.000,train,0.2242990654205607
P_wDFLJnW-o.004,train,0.2990654205607476
t0_DAgeU4nM.002,train,0.514018691588785
TTuysItuSdo.004,train,0.3831775700934579
nUbhRInpVbA.004,train,0.4672897196261681
kL-CeaXG9jM.004,train,0.6074766355140186
Znixev2a1AI.000,train,0.5607476635514018
zNHM8iNyTO4.005,train,0.5887850467289719
LWylAwr9kJI.002,train,0.4205607476635514
0n2vWTs6XwA.001,train,0.2710280373831775
FoWuHvikyqU.004,train,0.4953271028037382
6CRet5sD6xI.003,train,0.2149532710280373
7s3itKIXww0.002,train,0.3551401869158878
X7S71Som15M.002,train,0.5046728971962616
RbX4q4KceVk.004,train,0.5327102803738317
ySEeioc339E.004,train,0.4953271028037382
